DATE,RKNANPJPA666NRUG
1950-01-01,790520.8125
1951-01-01,833484.4375
1952-01-01,865191.6875
1953-01-01,893951.9375
1954-01-01,929572.25
1955-01-01,974814.5625
1956-01-01,1030793.0625
1957-01-01,1103742.125
1958-01-01,1173896.625
1959-01-01,1261520.375
1960-01-01,1387967.75
1961-01-01,1550042.0
1962-01-01,1720351.25
1963-01-01,1909070.5
1964-01-01,2130823.5
1965-01-01,2353236.75
1966-01-01,2607910.5
1967-01-01,2923285.25
1968-01-01,3310888.75
1969-01-01,3767474.75
1970-01-01,4309619.5
1971-01-01,4848303.5
1972-01-01,5423741.0
1973-01-01,6050491.0
1974-01-01,6563771.5
1975-01-01,7050958.0
1976-01-01,7546590.0
1977-01-01,8034001.0
1978-01-01,8566675.0
1979-01-01,9120579.0
1980-01-01,9613282.0
1981-01-01,10099709.0
1982-01-01,10560476.0
1983-01-01,11007563.0
1984-01-01,11468706.0
1985-01-01,11952732.0
1986-01-01,12472975.0
1987-01-01,13066164.0
1988-01-01,13767501.0
1989-01-01,14513620.0
1990-01-01,15300169.0
1991-01-01,16078454.0
1992-01-01,16778856.0
1993-01-01,17373832.0
1994-01-01,17914570.0
1995-01-01,18478218.0
1996-01-01,19100110.0
1997-01-01,19656206.0
1998-01-01,20131154.0
1999-01-01,20569596.0
2000-01-01,20985610.0
2001-01-01,21347102.0
2002-01-01,21616970.0
2003-01-01,21860280.0
2004-01-01,22089786.0
2005-01-01,22339618.0
2006-01-01,22576826.0
2007-01-01,22772658.0
2008-01-01,22904076.0
2009-01-01,22909384.0
2010-01-01,22903052.0
2011-01-01,22912650.0
2012-01-01,22958282.0
2013-01-01,23054584.0
2014-01-01,23181482.0
2015-01-01,23319812.0
2016-01-01,23445880.0
2017-01-01,23601760.0
2018-01-01,23756432.0
2019-01-01,23917982.0
