"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GFCF","TOT","MLN_USD","A","1960",7594.023,
"AUS","GFCF","TOT","MLN_USD","A","1961",7555.709,
"AUS","GFCF","TOT","MLN_USD","A","1962",8263.204,
"AUS","GFCF","TOT","MLN_USD","A","1963",9144.787,
"AUS","GFCF","TOT","MLN_USD","A","1964",10182.874,
"AUS","GFCF","TOT","MLN_USD","A","1965",11145.34,
"AUS","GFCF","TOT","MLN_USD","A","1966",12051.79,
"AUS","GFCF","TOT","MLN_USD","A","1967",13338.571,
"AUS","GFCF","TOT","MLN_USD","A","1968",14610.61,
"AUS","GFCF","TOT","MLN_USD","A","1969",16429.956,
"AUS","GFCF","TOT","MLN_USD","A","1970",18051.855,
"AUS","GFCF","TOT","MLN_USD","A","1971",19303.25,
"AUS","GFCF","TOT","MLN_USD","A","1972",20311.818,
"AUS","GFCF","TOT","MLN_USD","A","1973",22476.101,
"AUS","GFCF","TOT","MLN_USD","A","1974",22330.928,
"AUS","GFCF","TOT","MLN_USD","A","1975",25406.538,
"AUS","GFCF","TOT","MLN_USD","A","1976",26912.869,
"AUS","GFCF","TOT","MLN_USD","A","1977",29046.998,
"AUS","GFCF","TOT","MLN_USD","A","1978",32936.205,
"AUS","GFCF","TOT","MLN_USD","A","1979",36466.999,
"AUS","GFCF","TOT","MLN_USD","A","1980",44059.354,
"AUS","GFCF","TOT","MLN_USD","A","1981",51661.348,
"AUS","GFCF","TOT","MLN_USD","A","1982",48332.507,
"AUS","GFCF","TOT","MLN_USD","A","1983",51225.071,
"AUS","GFCF","TOT","MLN_USD","A","1984",57282.641,
"AUS","GFCF","TOT","MLN_USD","A","1985",64484.058,
"AUS","GFCF","TOT","MLN_USD","A","1986",67043.918,
"AUS","GFCF","TOT","MLN_USD","A","1987",72484.821,
"AUS","GFCF","TOT","MLN_USD","A","1988",81271.683,
"AUS","GFCF","TOT","MLN_USD","A","1989",82948.542,
"AUS","GFCF","TOT","MLN_USD","A","1990",74785.917,
"AUS","GFCF","TOT","MLN_USD","A","1991",71752.851,
"AUS","GFCF","TOT","MLN_USD","A","1992",78640.496,
"AUS","GFCF","TOT","MLN_USD","A","1993",85303.897,
"AUS","GFCF","TOT","MLN_USD","A","1994",95775.541,
"AUS","GFCF","TOT","MLN_USD","A","1995",97585.515,
"AUS","GFCF","TOT","MLN_USD","A","1996",102036.221,
"AUS","GFCF","TOT","MLN_USD","A","1997",113457.024,
"AUS","GFCF","TOT","MLN_USD","A","1998",121467.602,
"AUS","GFCF","TOT","MLN_USD","A","1999",132527.854,
"AUS","GFCF","TOT","MLN_USD","A","2000",125096.772,
"AUS","GFCF","TOT","MLN_USD","A","2001",138436.095,
"AUS","GFCF","TOT","MLN_USD","A","2002",156538.412,
"AUS","GFCF","TOT","MLN_USD","A","2003",170204.006,
"AUS","GFCF","TOT","MLN_USD","A","2004",183159.693,
"AUS","GFCF","TOT","MLN_USD","A","2005",200075.516,
"AUS","GFCF","TOT","MLN_USD","A","2006",212723.429,
"AUS","GFCF","TOT","MLN_USD","A","2007",233290.165,
"AUS","GFCF","TOT","MLN_USD","A","2008",235404.924,
"AUS","GFCF","TOT","MLN_USD","A","2009",244399.216,
"AUS","GFCF","TOT","MLN_USD","A","2010",245482.931,
"AUS","GFCF","TOT","MLN_USD","A","2011",272191.873,
"AUS","GFCF","TOT","MLN_USD","A","2012",277898.697,
"AUS","GFCF","TOT","MLN_USD","A","2013",296971.28,
"AUS","GFCF","TOT","MLN_USD","A","2014",293095.41,
"AUS","GFCF","TOT","MLN_USD","A","2015",285146.555,
"AUS","GFCF","TOT","MLN_USD","A","2016",291105.217,
"AUS","GFCF","TOT","MLN_USD","A","2017",304167.769,
"AUS","GFCF","TOT","MLN_USD","A","2018",308816.706,
"AUS","GFCF","TOT","MLN_USD","A","2019",303736.778,
"AUS","GFCF","TOT","MLN_USD","A","2020",322657.978,
"AUS","GFCF","TOT","MLN_USD","A","2021",371041.053,
"AUT","GFCF","TOT","MLN_USD","A","1970",7783.464,"E"
"AUT","GFCF","TOT","MLN_USD","A","1971",9262.663,"E"
"AUT","GFCF","TOT","MLN_USD","A","1972",11132.347,"E"
"AUT","GFCF","TOT","MLN_USD","A","1973",11622.132,"E"
"AUT","GFCF","TOT","MLN_USD","A","1974",13117.914,"E"
"AUT","GFCF","TOT","MLN_USD","A","1975",13402.428,"E"
"AUT","GFCF","TOT","MLN_USD","A","1976",14441.881,"E"
"AUT","GFCF","TOT","MLN_USD","A","1977",16623.178,"E"
"AUT","GFCF","TOT","MLN_USD","A","1978",16518.099,"E"
"AUT","GFCF","TOT","MLN_USD","A","1979",19042.491,"E"
"AUT","GFCF","TOT","MLN_USD","A","1980",21697.418,"E"
"AUT","GFCF","TOT","MLN_USD","A","1981",23637.433,"E"
"AUT","GFCF","TOT","MLN_USD","A","1982",23095.217,"E"
"AUT","GFCF","TOT","MLN_USD","A","1983",23842.925,"E"
"AUT","GFCF","TOT","MLN_USD","A","1984",24196.769,"E"
"AUT","GFCF","TOT","MLN_USD","A","1985",26279.903,"E"
"AUT","GFCF","TOT","MLN_USD","A","1986",27185.992,"E"
"AUT","GFCF","TOT","MLN_USD","A","1987",28913.75,"E"
"AUT","GFCF","TOT","MLN_USD","A","1988",31874.511,"E"
"AUT","GFCF","TOT","MLN_USD","A","1989",34764.376,"E"
"AUT","GFCF","TOT","MLN_USD","A","1990",37927.462,"E"
"AUT","GFCF","TOT","MLN_USD","A","1991",42278.042,"E"
"AUT","GFCF","TOT","MLN_USD","A","1992",43459.832,"E"
"AUT","GFCF","TOT","MLN_USD","A","1993",43843.341,"E"
"AUT","GFCF","TOT","MLN_USD","A","1994",47011.221,"E"
