"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1960",25071.833,
"AUS","GDP","TOT","MLN_USD","A","1961",25363.455,
"AUS","GDP","TOT","MLN_USD","A","1962",27953.904,
"AUS","GDP","TOT","MLN_USD","A","1963",30431.547,
"AUS","GDP","TOT","MLN_USD","A","1964",32742.466,
"AUS","GDP","TOT","MLN_USD","A","1965",34538.087,
"AUS","GDP","TOT","MLN_USD","A","1966",38340.322,
"AUS","GDP","TOT","MLN_USD","A","1967",41063.061,
"AUS","GDP","TOT","MLN_USD","A","1968",46555.241,
"AUS","GDP","TOT","MLN_USD","A","1969",52208.329,
"AUS","GDP","TOT","MLN_USD","A","1970",58911.123,
"AUS","GDP","TOT","MLN_USD","A","1971",64190.943,
"AUS","GDP","TOT","MLN_USD","A","1972",69870.522,
"AUS","GDP","TOT","MLN_USD","A","1973",78914.75,
"AUS","GDP","TOT","MLN_USD","A","1974",86393.219,
"AUS","GDP","TOT","MLN_USD","A","1975",96932.35,
"AUS","GDP","TOT","MLN_USD","A","1976",104369.683,
"AUS","GDP","TOT","MLN_USD","A","1977",110361.996,
"AUS","GDP","TOT","MLN_USD","A","1978",123440.344,
"AUS","GDP","TOT","MLN_USD","A","1979",138092.035,
"AUS","GDP","TOT","MLN_USD","A","1980",155158.909,
"AUS","GDP","TOT","MLN_USD","A","1981",178431.331,
"AUS","GDP","TOT","MLN_USD","A","1982",182042.927,
"AUS","GDP","TOT","MLN_USD","A","1983",196748.099,
"AUS","GDP","TOT","MLN_USD","A","1984",212023.379,
"AUS","GDP","TOT","MLN_USD","A","1985",229157.474,
"AUS","GDP","TOT","MLN_USD","A","1986",240013.841,
"AUS","GDP","TOT","MLN_USD","A","1987",261086.931,
"AUS","GDP","TOT","MLN_USD","A","1988",283187.112,
"AUS","GDP","TOT","MLN_USD","A","1989",299877.259,
"AUS","GDP","TOT","MLN_USD","A","1990",304395.003,
"AUS","GDP","TOT","MLN_USD","A","1991",314167.65,
"AUS","GDP","TOT","MLN_USD","A","1992",334839.065,
"AUS","GDP","TOT","MLN_USD","A","1993",355949.857,
"AUS","GDP","TOT","MLN_USD","A","1994",381647.453,
"AUS","GDP","TOT","MLN_USD","A","1995",404102.992,
"AUS","GDP","TOT","MLN_USD","A","1996",424472.904,
"AUS","GDP","TOT","MLN_USD","A","1997",450962.701,
"AUS","GDP","TOT","MLN_USD","A","1998",478691.653,
"AUS","GDP","TOT","MLN_USD","A","1999",510947.993,
"AUS","GDP","TOT","MLN_USD","A","2000",539145.387,
"AUS","GDP","TOT","MLN_USD","A","2001",569808.633,
"AUS","GDP","TOT","MLN_USD","A","2002",600908.415,
"AUS","GDP","TOT","MLN_USD","A","2003",639129.682,
"AUS","GDP","TOT","MLN_USD","A","2004",678093.349,
"AUS","GDP","TOT","MLN_USD","A","2005",719977.551,
"AUS","GDP","TOT","MLN_USD","A","2006",776413.103,
"AUS","GDP","TOT","MLN_USD","A","2007",826927.984,
"AUS","GDP","TOT","MLN_USD","A","2008",852859.354,
"AUS","GDP","TOT","MLN_USD","A","2009",904208.888,
"AUS","GDP","TOT","MLN_USD","A","2010",943487.934,
"AUS","GDP","TOT","MLN_USD","A","2011",993249.916,
"AUS","GDP","TOT","MLN_USD","A","2012",998266.252,
"AUS","GDP","TOT","MLN_USD","A","2013",1105431.18,
"AUS","GDP","TOT","MLN_USD","A","2014",1118585.036,
"AUS","GDP","TOT","MLN_USD","A","2015",1125701.148,
"AUS","GDP","TOT","MLN_USD","A","2016",1213233.545,
"AUS","GDP","TOT","MLN_USD","A","2017",1248366.725,
"AUS","GDP","TOT","MLN_USD","A","2018",1326195.638,
"AUS","GDP","TOT","MLN_USD","A","2019",1341053.276,
"AUS","GDP","TOT","MLN_USD","A","2020",1436700.137,
"AUS","GDP","TOT","MLN_USD","A","2021",1611809.807,
"AUS","GDP","TOT","MLN_USD","A","2022",1804621.816,
"AUS","GDP","TOT","USD_CAP","A","1960",2412.627589,
"AUS","GDP","TOT","USD_CAP","A","1961",2383.188902,
"AUS","GDP","TOT","USD_CAP","A","1962",2577.332834,
"AUS","GDP","TOT","USD_CAP","A","1963",2752.620592,
"AUS","GDP","TOT","USD_CAP","A","1964",2902.590472,
"AUS","GDP","TOT","USD_CAP","A","1965",3001.900269,
"AUS","GDP","TOT","USD_CAP","A","1966",3275.594754,
"AUS","GDP","TOT","USD_CAP","A","1967",3447.128012,
"AUS","GDP","TOT","USD_CAP","A","1968",3833.100887,
"AUS","GDP","TOT","USD_CAP","A","1969",4207.900059,
"AUS","GDP","TOT","USD_CAP","A","1970",4652.052555,
"AUS","GDP","TOT","USD_CAP","A","1971",4863.547147,
"AUS","GDP","TOT","USD_CAP","A","1972",5210.606409,
"AUS","GDP","TOT","USD_CAP","A","1973",5796.441599,
"AUS","GDP","TOT","USD_CAP","A","1974",6245.904885,
"AUS","GDP","TOT","USD_CAP","A","1975",6939.163592,
"AUS","GDP","TOT","USD_CAP","A","1976",7396.803098,
"AUS","GDP","TOT","USD_CAP","A","1977",7727.601527,
"AUS","GDP","TOT","USD_CAP","A","1978",8553.932397,
"AUS","GDP","TOT","USD_CAP","A","1979",9456.751581,
"AUS","GDP","TOT","USD_CAP","A","1980",10478.492046,
"AUS","GDP","TOT","USD_CAP","A","1981",11956.559959,
"AUS","GDP","TOT","USD_CAP","A","1982",11988.970545,
"AUS","GDP","TOT","USD_CAP","A","1983",12781.245289,
"AUS","GDP","TOT","USD_CAP","A","1984",13609.213388,
"AUS","GDP","TOT","USD_CAP","A","1985",14514.385569,
