DATE,RGDPNAJPA666NRUG
1950-01-01,272826.0
1951-01-01,297234.6875
1952-01-01,333982.59375
1953-01-01,356372.46875
1954-01-01,374102.46875
1955-01-01,400389.4375
1956-01-01,430393.71875
1957-01-01,464033.28125
1958-01-01,492858.71875
1959-01-01,539262.25
1960-01-01,609689.9375
1961-01-01,681957.375
1962-01-01,740583.0625
1963-01-01,805660.875
1964-01-01,895779.375
1965-01-01,946597.125
1966-01-01,1043608.375
1967-01-01,1159281.125
1968-01-01,1297339.125
1969-01-01,1452412.0
1970-01-01,1601754.125
1971-01-01,1677020.375
1972-01-01,1818117.375
1973-01-01,1964159.375
1974-01-01,1940093.625
1975-01-01,2000073.125
1976-01-01,2079575.75
1977-01-01,2170876.25
1978-01-01,2285323.5
1979-01-01,2410651.75
1980-01-01,2478574.0
1981-01-01,2582905.5
1982-01-01,2668463.0
1983-01-01,2762474.25
1984-01-01,2886840.5
1985-01-01,3037920.0
1986-01-01,3138977.25
1987-01-01,3287471.75
1988-01-01,3510527.5
1989-01-01,3681070.0
1990-01-01,3861174.75
1991-01-01,3993129.75
1992-01-01,4026994.25
1993-01-01,4006137.75
1994-01-01,4045921.5
1995-01-01,4156866.5
1996-01-01,4285729.0
1997-01-01,4331845.5
1998-01-01,4282964.0
1999-01-01,4272173.0
2000-01-01,4390924.0
2001-01-01,4408766.0
2002-01-01,4413968.0
2003-01-01,4481423.0
2004-01-01,4580224.5
2005-01-01,4656378.5
2006-01-01,4722499.5
2007-01-01,4800618.5
2008-01-01,4748122.0
2009-01-01,4490944.0
2010-01-01,4679192.5
2011-01-01,4673791.5
2012-01-01,4743669.0
2013-01-01,4838555.0
2014-01-01,4856686.0
2015-01-01,4916079.5
2016-01-01,4941739.0
2017-01-01,5048890.0
2018-01-01,5065208.5
2019-01-01,5099254.0
