DATE,LFWA64TTJPM647S
1970-01-01,71755260.182
1971-01-01,72514506.36299999
1972-01-01,73628016.705
1973-01-01,74255179.561
1974-01-01,74900473.584
1975-01-01,75747381.991
1976-01-01,76324036.395
1977-01-01,76891682.316
1978-01-01,77386912.50400001
1979-01-01,78018210.639
1980-01-01,78726442.891
1981-01-01,79098567.69
1982-01-01,79994492.509
1983-01-01,80691067.5
1984-01-01,81443522.444
1985-01-01,82165165.00999999
1986-01-01,83005031.243
1987-01-01,83932551.04599999
1988-01-01,84685297.68200001
1989-01-01,85389617.615
1990-01-01,85788142.31
1991-01-01,86245662.124
1992-01-01,86673265.30499999
1993-01-01,86950030.62799999
1994-01-01,86914155.906
1995-01-01,86884037.361
1996-01-01,86711748.16
1997-01-01,86806286.257
1998-01-01,86706771.02600001
1999-01-01,86612421.052
2000-01-01,86379560.31899999
2001-01-01,86148564.20199999
2002-01-01,85427542.206
2003-01-01,85179813.879
2004-01-01,84779649.359
2005-01-01,84187685.627
2006-01-01,83547075.735
2007-01-01,82994832.63000001
2008-01-01,82341937.93800001
2009-01-01,81666051.60399999
2010-01-01,81375555.31
2011-01-01,80960717.3050203
2012-01-01,79808906.8046014
2013-01-01,78814368.47705661
2014-01-01,77806112.3720401
2015-01-01,76913148.75711341
2016-01-01,76371472.4901766
2017-01-01,75861301.1636413
2018-01-01,75323487.23094381
2019-01-01,75097231.3660135
2020-01-01,74839321.2748497
2021-01-01,74212362.7813451
2022-01-01,73835172.549364
2023-01-01,.
